 Resolving package versions...
 Installed Distances ─ v0.8.2
 Installed MINPACK ─── v1.1.1
  Updating `~/.julia/environments/v1.3/Project.toml`
  [4854310b] + MINPACK v1.1.1
  Updating `~/.julia/environments/v1.3/Manifest.toml`
  [b4f34e82] + Distances v0.8.2
  [4854310b] + MINPACK v1.1.1
  [8f399da3] + Libdl 
  [37e2e46d] + LinearAlgebra 
  [de0858da] + Printf 
  [9a3f8284] + Random 
  [9e88b42a] + Serialization 
  [2f01184e] + SparseArrays 
  [10745b16] + Statistics 
  [4ec0a83e] + Unicode 
  Building MINPACK → `~/.julia/packages/MINPACK/8wsGn/deps/build.log`
   Testing MINPACK
 Resolving package versions...
    Status `/tmp/jl_F0uUql/Manifest.toml`
  [b4f34e82] Distances v0.8.2
  [4854310b] MINPACK v1.1.1
  [2a0f44e3] Base64  [`@stdlib/Base64`]
  [8ba89e20] Distributed  [`@stdlib/Distributed`]
  [b77e0a4c] InteractiveUtils  [`@stdlib/InteractiveUtils`]
  [8f399da3] Libdl  [`@stdlib/Libdl`]
  [37e2e46d] LinearAlgebra  [`@stdlib/LinearAlgebra`]
  [56ddb016] Logging  [`@stdlib/Logging`]
  [d6f4376e] Markdown  [`@stdlib/Markdown`]
  [de0858da] Printf  [`@stdlib/Printf`]
  [9a3f8284] Random  [`@stdlib/Random`]
  [9e88b42a] Serialization  [`@stdlib/Serialization`]
  [6462fe0b] Sockets  [`@stdlib/Sockets`]
  [2f01184e] SparseArrays  [`@stdlib/SparseArrays`]
  [10745b16] Statistics  [`@stdlib/Statistics`]
  [8dfed614] Test  [`@stdlib/Test`]
  [4ec0a83e] Unicode  [`@stdlib/Unicode`]
Function                                          Dim    NFEV    NJEV   Final inf-norm     total time
--------------------------------------------------------------------------------------
Rosenbrock-hybr                                     2      16       3     0.000000e+00   9.073992e-01
Rosenbrock-hybr-no_g                                2      16       3     0.000000e+00   5.124977e-01
Rosenbrock-lm                                       2      21      16     0.000000e+00   2.647816e-01
Rosenbrock-lm-no_g                                  2      22      16     0.000000e+00   1.922346e-01
Powell singular-hybr                                4     105       6     6.038676e-35   3.320360e-01
Powell singular-hybr-no_g                           4      96       3     2.278953e-30   1.302539e-01
Powell singular-lm                                  4      59      58     1.540744e-33   2.662293e-01
Powell singular-lm-no_g                             4     235     192     1.080555e-23   1.697974e-01
Powell badly scaled-hybr                            2     169       6     1.712673e-09   2.566229e-01
Powell badly scaled-hybr-no_g                       2     169       6     1.712421e-09   1.339000e-01
Powell badly scaled-lm                              2      19      17     1.110223e-16   4.127955e-01
Powell badly scaled-lm-no_g                         2      19      17     0.000000e+00   2.118042e-01
Wood-hybr                                           4      86       2     3.364109e-11   2.828522e-01
Wood-hybr-no_g                                      4      86       2     3.373679e-11   1.246847e-01
Wood-lm                                             4      32      27     1.920686e-14   2.516423e-01
Wood-lm-no_g                                        4      32      27     1.310063e-14   2.189325e-01
Helical Valley-hybr                                 3      18       3     2.565742e-13   3.853485e-01
Helical Valley-hybr-no_g                            3      18       3     2.565742e-13   2.043161e-01
Helical Valley-lm                                   3      11       8     9.936523e-17   2.630363e-01
Helical Valley-lm-no_g                              3      11       8     8.661763e-17   1.696627e-01
Watson6-hybr                                        6      60       6     3.118270e-13   5.375528e-01
Watson6-hybr-no_g                                   6      60       6     2.739822e-13   1.313084e-01
Watson6-lm                                          6      45      37     1.582588e-14   3.327674e-01
Watson6-lm-no_g                                     6      45      37     6.992670e-15   2.173836e-01
Watson9-hybr                                        9      92       4     3.728515e-12   1.480212e-03
Watson9-hybr-no_g                                   9      95       8     1.715425e-15   2.700095e-03
Watson9-lm                                          9      64      50     2.631359e-14   2.700993e-03
Chebyquad-hybr                                      5      10       1     5.969114e-13   3.822878e-01
Chebyquad-hybr-no_g                                 5      12       1     3.567124e-12   1.310414e-01
Chebyquad-lm                                        5       8       6     1.665335e-16   3.388143e-01
Chebyquad-lm-no_g                                   5       8       6     1.249001e-16   1.880138e-01
Chebyquad-hybr                                      6      13       2     1.317492e-11   1.586690e-04
Chebyquad-hybr-no_g                                 6      13       2     6.447310e-10   1.925470e-04
Chebyquad-lm                                        6      11       7     2.324529e-16   1.806120e-04
Chebyquad-lm-no_g                                   6      11       7     1.249001e-16   2.048330e-04
Chebyquad-hybr                                      7      12       1     4.102544e-12   1.533350e-04
Chebyquad-hybr-no_g                                 7      14       1     2.108302e-10   1.895760e-04
Chebyquad-lm                                        7       9       7     1.665335e-16   1.930480e-04
Chebyquad-lm-no_g                                   7       9       7     2.696256e-16   2.267130e-04
Chebyquad-hybr                                      9      23       2     4.022407e-10   3.097540e-04
Chebyquad-hybr-no_g                                 9      23       2     3.988115e-09   3.647620e-04
Chebyquad-lm                                        9      12       9     2.343804e-16   3.085980e-04
Chebyquad-lm-no_g                                   9      12       9     1.727014e-16   3.967140e-04
Brown almost-linear10-hybr                         10      11       2     4.996004e-15   6.709852e-01
Brown almost-linear10-hybr-no_g                    10      11       2     5.995204e-15   1.201575e-01
Brown almost-linear10-lm                           10      15      13     5.551115e-16   2.550357e-01
Brown almost-linear10-lm-no_g                      10       7       5     1.000000e+00   1.844768e-01
Brown almost-linear30-hybr                         30      12       2     3.474998e-14   1.920064e-03
Brown almost-linear30-hybr-no_g                    30      24       3     2.953193e-14   2.606627e-03
Brown almost-linear30-lm                           30      19      14     1.654232e-14   4.686891e-03
Brown almost-linear30-lm-no_g                      30      11      10     1.354472e-14   2.647752e-03
Brown almost-linear40-hybr                         40      12       2     1.576517e-14   2.568988e-03
Brown almost-linear40-hybr-no_g                    40      30       3     2.353673e-14   5.518642e-03
Brown almost-linear40-lm                           40      19      14     2.409184e-14   9.427383e-03
Brown almost-linear40-lm-no_g                      40      11      10     7.327472e-15   5.240888e-03
Discrete boundary value-hybr                       10       6       1     1.582068e-15   3.277046e-01
Discrete boundary value-hybr-no_g                  10       6       1     1.582068e-15   1.216571e-01
Discrete boundary value-lm                         10       5       4     2.428613e-17   3.207133e-01
Discrete boundary value-lm-no_g                    10       5       4     3.122502e-17   2.500913e-01
Discrete integral equation-hybr                     1       6       1     2.775558e-17   3.540677e-01
Discrete integral equation-hybr-no_g                1       6       1     2.775558e-17   1.378397e-01
Discrete integral equation-lm                       1       5       4     0.000000e+00   2.622496e-01
Discrete integral equation-lm-no_g                  1       5       4     2.775558e-17   1.824837e-01
Discrete integral equation-hybr                    10       6       1     3.164136e-15   1.273020e-04
Discrete integral equation-hybr-no_g               10       6       1     3.219647e-15   1.613620e-04
Discrete integral equation-lm                      10       5       4     2.775558e-17   1.320350e-04
Discrete integral equation-lm-no_g                 10       5       4     5.551115e-17   1.534110e-04
Trigonometric-lm                                   10      28      16     4.295374e-03   6.898334e-01
Trigonometric-lm-no_g                              10      29      16     4.295461e-03   3.028967e-01
Variably dimensioned-hybr                          10      22       1     0.000000e+00   3.832079e-01
Variably dimensioned-hybr-no_g                     10      22       1     2.282952e-12   1.244490e-01
Variably dimensioned-lm                            10      16      15     0.000000e+00   2.686490e-01
Variably dimensioned-lm-no_g                       10      16      15     0.000000e+00   2.211462e-01
Broyden tridiagonal-hybr                           10      12       1     2.377046e-10   3.803301e-01
Broyden tridiagonal-hybr-no_g                      10      12       1     2.377046e-10   1.700465e-01
Broyden tridiagonal-lm                             10       6       5     4.440892e-16   2.697200e-01
Broyden tridiagonal-lm-no_g                        10       6       5     6.661338e-16   2.046266e-01
Broyden banded-hybr                                10      20       1     1.406736e-09   3.431521e-01
Broyden banded-hybr-no_g                           10      20       1     1.406737e-09   1.339874e-01
Broyden banded-lm                                  10       7       6     4.440892e-16   2.907585e-01
Broyden banded-lm-no_g                             10       7       6     6.661338e-16   1.846639e-01
Test Summary: | Pass  Total
minpack       |   81     81
   Testing MINPACK tests passed 
